id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1344899700380628431,Capital City Executive Suites,42708277,1465634482472875867,Rodney,,FOURTH WARD,42.67796681605566,-73.74887793631504,Entire home/apt,,1,0,,,7,17,0,
1346801758960246004,"Stylishly, cozy and efficient 1BR Center Sq. Gem!",299638115,1469539483862628822,Flerida,,SIXTH WARD,42.6556643,-73.7618859,Entire home/apt,,3,10,2026-02-08,1.29,4,365,10,
1350831900774924999,Cozy Home in Heart of Albany,677372979,1470694973947009034,Celia,,TWELFTH WARD,42.68507834404223,-73.79764015056868,Entire home/apt,,7,3,2025-05-01,0.25,1,253,3,
1350872245042831459,Capital City Escape,10279606,1462836303318100245,Nori,,FIFTEENTH WARD,42.67003713546928,-73.82302715231661,Entire home/apt,,1,68,2026-01-18,5.59,3,338,68,
1358581858384454275,Two bedroom apartment in Albany,32379616,1465475491698528907,Fabiola,,THIRD WARD,42.66526304906058,-73.76716070107956,Entire home/apt,,28,0,,,5,321,0,
1363867065584533091,A piece of mind,650062372,1470635778704216166,The Essencesless Cozy Stay,,THIRTEENTH WARD,42.66891,-73.79096,Entire home/apt,,1,7,2025-12-14,0.73,1,363,7,
1365428503448527322,Downtown Albany Large 2BR | Free Parking,664328482,1470667160567219103,Olu,,SECOND WARD,42.6436654,-73.7536006,Entire home/apt,,1,42,2025-12-15,3.60,1,354,42,
1366933239765507591,Vacation Home in Albany,680411288,1470701345227945948,Stephanie,,EIGHTH WARD,42.64533014600323,-73.789131045637,Entire home/apt,,2,41,2026-02-08,3.67,1,218,41,
1369127908322228929,Capital Comfort Stay,584109093,1470597095475582937,Cecilia,,FOURTH WARD,42.66159372265361,-73.75439956511829,Entire home/apt,,1,51,2026-01-02,4.55,1,293,51,
1369145599555854547,Lovely located 2 bdrm - Steps - Dwntwn & Hospitals,521669673,1470347340308191612,Kody,,FIFTH WARD,42.66023621248564,-73.75777994908182,Entire home/apt,,14,0,,,4,365,0,
1369768924474303403,Near Hospitals: Home w/ Yard in Albany!,121680792,1468235421089255785,Evolve,,FIRST WARD,42.63962651941938,-73.7733080081594,Entire home/apt,,2,1,2025-10-18,0.25,5,364,1,
1371626040166892504,Central cozy 4 bedroom w/King bed,20536619,1462613529423158163,Emily,,TENTH WARD,42.66315402479468,-73.78910123743358,Entire home/apt,,28,1,2025-08-04,0.15,13,167,1,
1371829070623409671,"Walk to Albany Med, MVP Arena, Washington Park",265861488,1469406085973611788,Vander,,SIXTH WARD,42.65040602684423,-73.76433185078635,Entire home/apt,,1,63,2026-02-11,5.98,1,307,63,
1374747174653747946,"Near UAlbany & MVP Arena, Private Driveway Parking",193923901,1469009744438959087,Liza,,FOURTEENTH WARD,42.67057,-73.80939,Entire home/apt,,1,22,2026-01-26,3.13,1,347,22,
1375007693720508441,A peaceful home away from home,385963105,1469793713240877657,Samantha,,FOURTEENTH WARD,42.66598411229728,-73.81880097091198,Entire home/apt,,7,3,2025-11-01,0.34,1,88,3,
1376989617162173438,Cozy Sunshine,233515764,1469243869147543959,Etem,,SEVENTH WARD,42.64764408604364,-73.7715925383664,Entire home/apt,,1,11,2025-11-28,1.02,7,144,11,
1377446918025263146,"Woodlands room, private queen, walk to AMC",20536619,1462613529423158163,Emily,,TENTH WARD,42.66148231183373,-73.78761856260732,Private room,,28,3,2025-10-26,0.45,13,70,3,
1377471842094741150,"Crimson private queen room, walk to Albany Med",20536619,1462613529423158163,Emily,,TENTH WARD,42.66310642184764,-73.78716159656459,Private room,,28,2,2025-11-23,0.42,13,160,2,
1377480167938312156,"Peony room, private w/ King bed!",20536619,1462613529423158163,Emily,,TENTH WARD,42.66183099633526,-73.78755056940085,Private room,,28,2,2025-11-23,0.28,13,70,2,
1379906377578749938,Cozy Sunset,233515764,1469243869147543959,Etem,,SEVENTH WARD,42.64628669280813,-73.7715308891403,Entire home/apt,,1,34,2026-01-25,3.08,7,242,34,
